Target image,Source image,Target landmarks,Source landmarks,Image diagonal [pixels],Image size [pixels],status
COAD_01/scale-25pc/S1.jpg,COAD_01/scale-25pc/S3.jpg,COAD_01/scale-25pc/S1.csv,COAD_01/scale-25pc/S3.csv,17347.5,"(13812, 10496)",training
COAD_01/scale-25pc/S1.jpg,COAD_01/scale-25pc/S6.jpg,COAD_01/scale-25pc/S1.csv,COAD_01/scale-25pc/S6.csv,17347.5,"(13812, 10496)",training
COAD_01/scale-25pc/S1.jpg,COAD_01/scale-25pc/S7.jpg,COAD_01/scale-25pc/S1.csv,COAD_01/scale-25pc/S7.csv,17347.5,"(13812, 10496)",training
COAD_01/scale-25pc/S3.jpg,COAD_01/scale-25pc/S6.jpg,COAD_01/scale-25pc/S3.csv,COAD_01/scale-25pc/S6.csv,17739.5,"(14131, 10724)",training
COAD_01/scale-25pc/S3.jpg,COAD_01/scale-25pc/S7.jpg,COAD_01/scale-25pc/S3.csv,COAD_01/scale-25pc/S7.csv,17739.5,"(14131, 10724)",training
COAD_01/scale-25pc/S6.jpg,COAD_01/scale-25pc/S7.jpg,COAD_01/scale-25pc/S6.csv,COAD_01/scale-25pc/S7.csv,18870.3,"(15052, 11381)",training
COAD_02/scale-25pc/S2.jpg,COAD_02/scale-25pc/S3.jpg,COAD_02/scale-25pc/S2.csv,COAD_02/scale-25pc/S3.csv,12885.1,"(9551, 8649)",training
COAD_02/scale-25pc/S2.jpg,COAD_02/scale-25pc/S6.jpg,COAD_02/scale-25pc/S2.csv,COAD_02/scale-25pc/S6.csv,12885.1,"(9551, 8649)",training
COAD_02/scale-25pc/S2.jpg,COAD_02/scale-25pc/S7.jpg,COAD_02/scale-25pc/S2.csv,COAD_02/scale-25pc/S7.csv,12885.1,"(9551, 8649)",training
COAD_02/scale-25pc/S3.jpg,COAD_02/scale-25pc/S6.jpg,COAD_02/scale-25pc/S3.csv,COAD_02/scale-25pc/S6.csv,13238.9,"(10396, 8197)",training
COAD_02/scale-25pc/S3.jpg,COAD_02/scale-25pc/S7.jpg,COAD_02/scale-25pc/S3.csv,COAD_02/scale-25pc/S7.csv,13238.9,"(10396, 8197)",training
COAD_02/scale-25pc/S6.jpg,COAD_02/scale-25pc/S7.jpg,COAD_02/scale-25pc/S6.csv,COAD_02/scale-25pc/S7.csv,14043.3,"(10782, 8998)",training
COAD_03/scale-25pc/S2.jpg,COAD_03/scale-25pc/S5.jpg,COAD_03/scale-25pc/S2.csv,COAD_03/scale-25pc/S5.csv,17896.6,"(14182, 10916)",training
